No.,図形名,文字,UCS,文字,代替変換区分
1,GJ000001,􀀀,U+30F1,ヱ,1
2,GJ000002,􀀁,,,3
3,GJ000003,􀀂,,,3
4,GJ000004,􀀃,,,3
5,GJ000005,􀀄,,,3
6,GJ000006,􀀅,U+30E2,モ,2
7,GJ000007,􀀆,U+30AD,キ,2
8,GJ000008,􀀇,U+4E2D,中,1
9,GJ000009,􀀈,U+864E,虎,1
10,GJ000010,􀀉,,,3
11,GJ000011,􀀊,U+52F9,勹,2
12,GJ000012,􀀋,U+5100,儀,1
13,GJ000013,􀀌,,,3
14,GJ000014,􀀍,,,3
15,GJ000015,􀀎,,,3
16,GJ000016,􀀏,,,3
17,GJ000017,􀀐,U+5FD7,志,2
18,GJ000018,􀀑,,,3
19,GJ000019,􀀒,,,3
20,GJ000020,􀀓,,,3
21,GJ000021,􀀔,U+67EC,柬,2
22,GJ000022,􀀕,U+4FCA,俊,1
23,GJ000023,􀀖,,,3
24,GJ000024,􀀗,,,3
25,GJ000025,􀀘,,,3
26,GJ000026,􀀙,,,3
27,GJ000027,􀀚,,,3
28,GJ000028,􀀛,,,3
29,GJ000029,􀀜,,,3
30,GJ000030,􀀝,,,3
31,GJ000031,􀀞,,,3
32,GJ000032,􀀟,U+5150,児,1
33,GJ000033,􀀠,,,3
34,GJ000034,􀀡,,,3
35,GJ000035,􀀢,,,3
36,GJ000036,􀀣,,,3
37,GJ000037,􀀤,,,3
38,GJ000038,􀀥,,,3
39,GJ000039,􀀦,,,3
40,GJ000040,􀀧,,,3
41,GJ000041,􀀨,U+51CC,凌,1
42,GJ000042,􀀩,U+6F31,漱,2
43,GJ000043,􀀪,,,3
44,GJ000044,􀀫,,,3
45,GJ000045,􀀬,,,3
46,GJ000046,􀀭,,,3
47,GJ000047,􀀮,,,3
48,GJ000048,􀀯,,,3
49,GJ000049,􀀰,,,3
50,GJ000050,􀀱,,,3
51,GJ000051,􀀲,,,3
52,GJ000052,􀀳,,,3
53,GJ000053,􀀴,,,3
54,GJ000054,􀀵,,,3
55,GJ000055,􀀶,U+5EC2,廂,1
56,GJ000056,􀀷,,,3
57,GJ000057,􀀸,,,3
58,GJ000058,􀀹,U+5442,呂,1
59,GJ000059,􀀺,U+5E74,年,2
60,GJ000060,􀀻,,,3
61,GJ000061,􀀼,,,3
62,GJ000062,􀀽,,,3
63,GJ000063,􀀾,U+668E,暎,2
64,GJ000064,􀀿,,,3
65,GJ000065,􀁀,,,3
66,GJ000066,􀁁,,,3
67,GJ000067,􀁂,,,3
68,GJ000068,􀁃,,,3
69,GJ000069,􀁄,,,3
70,GJ000070,􀁅,,,3
71,GJ000071,􀁆,U+5712,園,1
72,GJ000072,􀁇,U+78D4,磔,1
73,GJ000073,􀁈,,,3
74,GJ000074,􀁉,,,3
75,GJ000075,􀁊,,,3
76,GJ000076,􀁋,,,3
77,GJ000077,􀁌,,,3
78,GJ000078,􀁍,,,3
79,GJ000079,􀁎,U+5834,場,1
80,GJ000080,􀁏,,,3
81,GJ000081,􀁐,,,3
82,GJ000082,􀁑,,,3
83,GJ000083,􀁒,,,3
84,GJ000084,􀁓,,,3
85,GJ000085,􀁔,,,3
86,GJ000086,􀁕,,,3
87,GJ000087,􀁖,U+521D,初,1
88,GJ000088,􀁗,,,3
89,GJ000089,􀁘,,,3
90,GJ000090,􀁙,,,3
91,GJ000091,􀁚,,,3
92,GJ000092,􀁛,,,3
93,GJ000093,􀁜,,,3
94,GJ000094,􀁝,,,3
95,GJ000095,􀁞,U+793A,示,2
96,GJ000096,􀁟,,,3
97,GJ000097,􀁠,U+5983,妃,1
98,GJ000098,􀁡,,,3
99,GJ000099,􀁢,,,3
100,GJ000100,􀁣,,,3
101,GJ000101,􀁤,,,3
102,GJ000102,􀁥,,,3
103,GJ000103,􀁦,,,3
104,GJ000104,􀁧,,,3
105,GJ000105,􀁨,,,3
106,GJ000106,􀁩,U+9870,顰,1
107,GJ000107,􀁪,U+5B6B,孫,1
108,GJ000108,􀁫,,,3
109,GJ000109,􀁬,,,3
110,GJ000110,􀁭,,,3
111,GJ000111,􀁮,,,3
112,GJ000112,􀁯,,,3
113,GJ000113,􀁰,,,3
114,GJ000114,􀁱,,,3
115,GJ000115,􀁲,,,3
116,GJ000116,􀁳,,,3
117,GJ000117,􀁴,,,3
118,GJ000118,􀁵,,,3
119,GJ000119,􀁶,,,3
120,GJ000120,􀁷,,,3
121,GJ000121,􀁸,,,3
122,GJ000122,􀁹,,,3
123,GJ000123,􀁺,,,3
124,GJ000124,􀁻,,,3
125,GJ000125,􀁼,,,3
126,GJ000126,􀁽,,,3
127,GJ000127,􀁾,,,3
128,GJ000128,􀁿,,,3
129,GJ000129,􀂀,U+5F25,弥,1
130,GJ000130,􀂁,,,3
