No.,UCS,文字,UCS,文字,代替変換区分,
1,U+0020, ,U+3000,　,0,
2,U+0021,!,U+0021,!,0,
3,U+0022,"""",U+0022,"""",0,
4,U+0023,#,U+0023,#,0,
5,U+0024,$,U+0024,$,0,
6,U+0025,%,U+0025,%,0,
7,U+0026,&,U+0026,&,0,
8,U+0027,',U+0027,',0,
9,U+0028,(,U+0028,(,0,
10,U+0029,),U+0029,),0,
11,U+002A,*,U+002A,*,0,
12,U+002B,+,U+002B,+,0,
13,U+002C,",",U+002C,",",0,
14,U+002D,-,U+002D,-,0,
15,U+002E,.,U+002E,.,0,
16,U+002F,/,U+002F,/,0,
17,U+0030,0,U+0030,0,0,
18,U+0031,1,U+0031,1,0,
19,U+0032,2,U+0032,2,0,
20,U+0033,3,U+0033,3,0,
21,U+0034,4,U+0034,4,0,
22,U+0035,5,U+0035,5,0,
23,U+0036,6,U+0036,6,0,
24,U+0037,7,U+0037,7,0,
25,U+0038,8,U+0038,8,0,
26,U+0039,9,U+0039,9,0,
27,U+003A,:,U+003A,:,0,
28,U+003B,;,U+003B,;,0,
29,U+003C,<,U+003C,<,0,
30,U+003D,=,U+003D,=,0,
31,U+003E,>,U+003E,>,0,
32,U+003F,?,U+003F,?,0,
33,U+0040,@,U+0040,@,0,
34,U+0041,A,U+0041,A,0,
35,U+0042,B,U+0042,B,0,
36,U+0043,C,U+0043,C,0,
37,U+0044,D,U+0044,D,0,
38,U+0045,E,U+0045,E,0,
39,U+0046,F,U+0046,F,0,
40,U+0047,G,U+0047,G,0,
41,U+0048,H,U+0048,H,0,
42,U+0049,I,U+0049,I,0,
43,U+004A,J,U+004A,J,0,
44,U+004B,K,U+004B,K,0,
45,U+004C,L,U+004C,L,0,
46,U+004D,M,U+004D,M,0,
47,U+004E,N,U+004E,N,0,
48,U+004F,O,U+004F,O,0,
49,U+0050,P,U+0050,P,0,
50,U+0051,Q,U+0051,Q,0,
51,U+0052,R,U+0052,R,0,
52,U+0053,S,U+0053,S,0,
53,U+0054,T,U+0054,T,0,
54,U+0055,U,U+0055,U,0,
55,U+0056,V,U+0056,V,0,
56,U+0057,W,U+0057,W,0,
57,U+0058,X,U+0058,X,0,
58,U+0059,Y,U+0059,Y,0,
59,U+005A,Z,U+005A,Z,0,
60,U+005B,[,U+005B,[,0,
61,U+005C,\,U+005C,\,0,
62,U+005D,],U+005D,],0,
63,U+005E,^,U+005E,^,0,
64,U+005F,_,U+005F,_,0,
65,U+0060,`,U+0060,`,0,
66,U+0061,a,U+0061,a,0,
67,U+0062,b,U+0062,b,0,
